"Store","Date","Weekly_Sales","Holiday_Flag","Temperature","Fuel_Price","CPI","Unemployment","week","year"
"1","12-02-2010",1641957.44,"1",38.51,2.548,211.2421698,8.106,14648,"2010"
"1","10-09-2010",1507460.69,"1",78.69,2.565,211.4951902,7.787,14858,"2010"
"1","26-11-2010",1955624.11,"1",64.52,2.735,211.7484333,7.838,14935,"2010"
"1","31-12-2010",1367320.01,"1",48.43,2.943,211.4049321,7.838,14970,"2010"
"1","11-02-2011",1649614.93,"1",36.39,3.022,212.9367046,7.742,15012,"2011"
"1","09-09-2011",1540471.24,"1",76,3.546,215.861056,7.962,15222,"2011"
"1","25-11-2011",2033320.66,"1",60.14,3.236,218.4676211,7.866,15299,"2011"
"1","30-12-2011",1497462.72,"1",44.55,3.129,219.5359898,7.866,15334,"2011"
"1","10-02-2012",1802477.43,"1",48.02,3.409,220.2651783,7.348,15376,"2012"
"1","07-09-2012",1661767.33,"1",83.96,3.73,222.4390153,6.908,15586,"2012"
"2","12-02-2010",2137809.5,"1",38.49,2.548,210.8979935,8.324,14648,"2010"
"2","10-09-2010",1839128.83,"1",79.09,2.565,211.1532104,8.099,14858,"2010"
"2","26-11-2010",2658725.29,"1",62.98,2.735,211.4062867,8.163,14935,"2010"
"2","31-12-2010",1750434.55,"1",47.3,2.943,211.064774,8.163,14970,"2010"
"2","11-02-2011",2168041.61,"1",33.19,3.022,212.5928624,8.028,15012,"2011"
"2","09-09-2011",1748000.65,"1",77.97,3.546,215.5148295,7.852,15222,"2011"
"2","25-11-2011",2614202.3,"1",56.36,3.236,218.1130269,7.441,15299,"2011"
"2","30-12-2011",1874226.52,"1",44.57,3.129,219.1773063,7.441,15334,"2011"
"2","10-02-2012",2103322.68,"1",46.98,3.409,219.9049073,7.057,15376,"2012"
"2","07-09-2012",1898777.07,"1",87.65,3.73,222.0747635,6.565,15586,"2012"
"3","12-02-2010",420728.96,"1",47.93,2.548,214.5747916,7.368,14648,"2010"
"3","10-09-2010",352260.97,"1",80.84,2.565,214.8065431,7.346,14858,"2010"
"3","26-11-2010",565567.84,"1",68.71,2.735,215.0614025,7.564,14935,"2010"
"3","31-12-2010",382677.76,"1",53.2,2.943,214.6986466,7.564,14970,"2010"
"3","11-02-2011",430526.21,"1",43.57,3.022,216.2660913,7.551,15012,"2011"
"3","09-09-2011",377347.49,"1",81.72,3.546,219.2135305,7.567,15222,"2011"
"3","25-11-2011",556925.19,"1",68,3.236,221.9011185,7.197,15299,"2011"
"3","30-12-2011",410553.88,"1",48.29,3.129,223.0090839,7.197,15334,"2011"
"3","10-02-2012",473292.47,"1",51.65,3.409,223.753643,6.833,15376,"2012"
"3","07-09-2012",408229.73,"1",84.99,3.73,225.9660263,6.334,15586,"2012"
"4","12-02-2010",2188307.39,"1",28.84,2.573,126.4962581,8.623,14648,"2010"
"4","10-09-2010",1865820.81,"1",73.54,2.574,126.1145806,7.372,14858,"2010"
"4","26-11-2010",2789469.45,"1",48.08,2.752,126.6692667,7.127,14935,"2010"
"4","31-12-2010",1794868.74,"1",38.09,2.955,127.0876774,7.127,14970,"2010"
"4","11-02-2011",2187847.29,"1",33.29,3.033,127.859129,6.51,15012,"2011"
"4","09-09-2011",2093139.01,"1",73.34,3.554,129.3686129,5.644,15222,"2011"
"4","25-11-2011",3004702.33,"1",47.96,3.225,129.8364,5.143,15299,"2011"
"4","30-12-2011",2007105.86,"1",36.89,3.119,130.0710323,5.143,15334,"2011"
"4","10-02-2012",2374660.64,"1",33,3.411,130.3849032,4.607,15376,"2012"
"4","07-09-2012",2125104.72,"1",82.09,3.709,130.9325484,4.077,15586,"2012"
"5","12-02-2010",311825.7,"1",39.81,2.548,211.8004698,6.566,14648,"2010"
"5","10-09-2010",306533.08,"1",79.86,2.565,212.0499271,6.496,14858,"2010"
"5","26-11-2010",488362.61,"1",66.15,2.735,212.303441,6.768,14935,"2010"
"5","31-12-2010",298180.18,"1",49.79,2.943,211.9567142,6.768,14970,"2010"
"5","11-02-2011",311590.54,"1",38.25,3.022,213.4944627,6.634,15012,"2011"
"5","09-09-2011",321110.22,"1",79.04,3.546,216.4226819,6.529,15222,"2011"
"5","25-11-2011",507900.07,"1",61.93,3.236,219.0428204,6.3,15299,"2011"
"5","30-12-2011",349624.88,"1",45.62,3.129,220.1178226,6.3,15334,"2011"
"5","10-02-2012",349239.88,"1",48.57,3.409,220.849586,5.943,15376,"2012"
"5","07-09-2012",350648.91,"1",86.3,3.73,223.0298805,5.603,15586,"2012"
"6","12-02-2010",1606283.86,"1",40.57,2.548,212.7700425,7.259,14648,"2010"
