Cluster_Category,ds,y,Holiday_Flag,Unemployment,CPI,Fuel_Price,Month
Rural store,2010-02-05,4250487.43,0,9.45711111111111,171.5042515111111,2.733,2
Rural store,2010-02-12,4262738.8,1,9.45711111111111,171.6071012777778,2.692111111111111,2
Rural store,2010-02-19,4180274.93,0,9.45711111111111,171.6467320111111,2.6842222222222225,2
Rural store,2010-02-26,4063550.48,0,9.45711111111111,171.67582626666666,2.6776666666666666,2
Rural store,2010-03-05,4299714.76,0,9.45711111111111,171.70492054444443,2.7386666666666666,3
Rural store,2010-03-12,4243385.78,0,9.45711111111111,171.73401479999998,2.796,3
Rural store,2010-03-19,4067302.92,0,9.45711111111111,171.64821542222222,2.849888888888889,3
Rural store,2010-03-26,4035512.4,0,9.45711111111111,171.54326704444443,2.847,3
Rural store,2010-04-02,4342304.73,0,9.335666666666667,171.4383187111111,2.868333333333333,4
Rural store,2010-04-09,4333596.8,0,9.335666666666667,171.3333703222222,2.8774444444444445,4
Rural store,2010-04-16,4344972.38,0,9.335666666666667,171.24468195555556,2.926,4
Rural store,2010-04-23,4126116.69,0,9.335666666666667,171.17767354444445,2.9038888888888885,4
Rural store,2010-04-30,4134031.34,0,9.335666666666667,171.11066515555555,2.9157777777777776,4
Rural store,2010-05-07,4485211.95,0,9.335666666666667,171.04365674444443,2.9539999999999997,5
Rural store,2010-05-14,4360932.7299999995,0,9.335666666666667,171.00595831111113,2.971777777777778,5
Rural store,2010-05-21,4223569.61,0,9.335666666666667,171.1441197,2.9458888888888892,5
Rural store,2010-05-28,4246227.9,0,9.335666666666667,171.28228109999998,2.886,5
Rural store,2010-06-04,4354478.39,0,9.335666666666667,171.42044252222223,2.8133333333333335,6
Rural store,2010-06-11,4386009.84,0,9.335666666666667,171.55860392222223,2.8146666666666667,6
Rural store,2010-06-18,4350629.5,0,9.335666666666667,171.55866585555557,2.7772222222222225,6
Rural store,2010-06-25,4090316.25,0,9.335666666666667,171.50348795555556,2.8266666666666667,6
Rural store,2010-07-02,4246118.04,0,9.204444444444444,171.4483101,2.8114444444444446,7
Rural store,2010-07-09,4345619.02,0,9.204444444444444,171.3931322111111,2.8241111111111112,7
Rural store,2010-07-16,4289175.73,0,9.204444444444444,171.3882386888889,2.782222222222222,7
Rural store,2010-07-23,4063704.31,0,9.204444444444444,171.45039095555555,2.807777777777778,7
Rural store,2010-07-30,3985540.13,0,9.204444444444444,171.51254326666668,2.7945555555555557,7
Rural store,2010-08-06,4333140.2,0,9.204444444444444,171.5746955777778,2.8232222222222223,8
Rural store,2010-08-13,4286841.29,0,9.204444444444444,171.63684787777777,2.8465555555555557,8
Rural store,2010-08-20,4154734.67,0,9.204444444444444,171.62452243333334,2.8164444444444445,8
Rural store,2010-08-27,4040813.7399999998,0,9.204444444444444,171.61219696666666,2.800111111111111,8
Rural store,2010-09-03,4213338.5,0,9.204444444444444,171.59987152222223,2.7897777777777777,9
Rural store,2010-09-10,4259471.1,1,9.204444444444444,171.58754604444442,2.749222222222222,9
Rural store,2010-09-17,4170802.8,0,9.204444444444444,171.61651840000002,2.7734444444444444,9
Rural store,2010-09-24,3956248.0,0,9.204444444444444,171.676464,2.7613333333333334,9
Rural store,2010-10-01,4079498.96,0,9.222222222222221,171.73640963333335,2.771,10
Rural store,2010-10-08,4315571.57,0,9.222222222222221,171.7963552888889,2.7733333333333334,10
Rural store,2010-10-15,4139595.2600000002,0,9.222222222222221,171.85365487777779,2.857111111111111,10
Rural store,2010-10-22,4103396.57,0,9.222222222222221,171.90433953333334,2.8534444444444444,10
Rural store,2010-10-29,3948231.99,0,9.222222222222221,171.95502421111112,2.874,10
Rural store,2010-11-05,4195382.33,0,9.222222222222221,172.00570882222223,2.8463333333333334,11
Rural store,2010-11-12,4166742.98,0,9.222222222222221,172.05639347777776,2.8934444444444445,11
Rural store,2010-11-19,4042844.12,0,9.222222222222221,172.02253556666668,2.905666666666667,11
Rural store,2010-11-26,4569451.28,1,9.222222222222221,171.97458723333332,2.9205555555555556,11
Rural store,2010-12-03,4045084.56,0,9.222222222222221,171.92663885555555,2.8665555555555553,12
Rural store,2010-12-10,4380236.51,0,9.222222222222221,171.8786905,2.961444444444444,12
Rural store,2010-12-17,4442719.96,0,9.222222222222221,171.8857441888889,2.991888888888889,12
Rural store,2010-12-24,5008814.24,0,9.222222222222221,171.93404933333332,3.024,12
Rural store,2010-12-31,3569710.58,1,9.222222222222221,171.9823545111111,3.029888888888889,12
Rural store,2011-01-07,4060353.81,0,9.055444444444444,172.0306597,3.0905555555555555,1
Rural store,2011-01-14,4111249.3,0,9.055444444444444,172.10933646666666,3.107111111111111,1
Rural store,2011-01-21,3929435.79,0,9.055444444444444,172.37024276666665,3.1206666666666667,1
Rural store,2011-01-28,3838648.73,0,9.055444444444444,172.63114903333334,3.114,1
Rural store,2011-02-04,4301079.08,0,9.055444444444444,172.8920553,3.1328888888888886,2
Rural store,2011-02-11,4235676.33,1,9.055444444444444,173.15296157777777,3.1656666666666666,2
Rural store,2011-02-18,4096578.19,0,9.055444444444444,173.38164526666665,3.1943333333333332,2
Rural store,2011-02-25,3894347.51,0,9.055444444444444,173.59743987777776,3.2186666666666666,2
Rural store,2011-03-04,4146473.04,0,9.055444444444444,173.8132344888889,3.4256666666666664,3
Rural store,2011-03-11,4101111.45,0,9.055444444444444,174.02902907777778,3.5367777777777776,3
Rural store,2011-03-18,4010584.23,0,9.055444444444444,174.2153404111111,3.6072222222222226,3
Rural store,2011-03-25,3944236.4299999997,0,9.055444444444444,174.38985844444446,3.589777777777778,3
Rural store,2011-04-01,3992954.66,0,8.913555555555554,174.56437648888888,3.6157777777777778,4
Rural store,2011-04-08,4292008.14,0,8.913555555555554,174.7388945111111,3.713,4
Rural store,2011-04-15,4221569.88,0,8.913555555555554,174.89513936666668,3.8305555555555557,4
Rural store,2011-04-22,4167747.54,0,8.913555555555554,175.0057015,3.8601111111111113,4
Rural store,2011-04-29,3898069.36,0,8.913555555555554,175.11626364444444,3.9294444444444445,4
Rural store,2011-05-06,4279209.37,0,8.913555555555554,175.22682574444445,4.000444444444444,5
Rural store,2011-05-13,4257806.65,0,8.913555555555554,175.3373878777778,4.006555555555555,5
Rural store,2011-05-20,4104207.77,0,8.913555555555554,175.2105989,3.962111111111111,5
Rural store,2011-05-27,3989687.07,0,8.913555555555554,175.08380993333333,3.873333333333333,5
Rural store,2011-06-03,4169779.98,0,8.913555555555554,174.9570210222222,3.8086666666666664,6
Rural store,2011-06-10,4257490.5,0,8.913555555555554,174.83023205555557,3.792555555555556,6
Rural store,2011-06-17,4180314.99,0,8.913555555555554,174.81144324444443,3.7623333333333338,6
Rural store,2011-06-24,3987255.81,0,8.913555555555554,174.87365454444446,3.703888888888889,6
Rural store,2011-07-01,4028716.4,0,8.764777777777777,174.93586583333334,3.662333333333333,7
Rural store,2011-07-08,4186956.55,0,8.764777777777777,174.9980771777778,3.605,7
Rural store,2011-07-15,4130324.55,0,8.764777777777777,175.05450344444444,3.6486666666666667,7
Rural store,2011-07-22,3977408.87,0,8.764777777777777,175.09646723333333,3.6835555555555555,7
Rural store,2011-07-29,3814762.42,0,8.764777777777777,175.138431,3.700222222222222,7
Rural store,2011-08-05,4160038.06,0,8.764777777777777,175.18039477777776,3.7277777777777774,8
Rural store,2011-08-12,4113787.61,0,8.764777777777777,175.2223585222222,3.692111111111111,8
Rural store,2011-08-19,4069518.23,0,8.764777777777777,175.27455386666668,3.638888888888889,8
Rural store,2011-08-26,3979516.01,0,8.764777777777777,175.32845454444447,3.601111111111111,8
Rural store,2011-09-02,4047190.49,0,8.764777777777777,175.38235515555556,3.6396666666666664,9
Rural store,2011-09-09,4136325.06,1,8.764777777777777,175.43625576666668,3.6609999999999996,9
Rural store,2011-09-16,4038370.13,0,8.764777777777777,175.56064038888888,3.657777777777778,9
Rural store,2011-09-23,3903147.67,0,8.764777777777777,175.77900363333333,3.6186666666666665,9
Rural store,2011-09-30,3819210.92,0,8.764777777777777,175.99736691111113,3.588,9
Rural store,2011-10-07,4274198.48,0,8.328333333333333,176.21573016666667,3.530333333333333,10
Rural store,2011-10-14,4083806.02,0,8.328333333333333,176.41582614444442,3.4850000000000003,10
Rural store,2011-10-21,4045176.13,0,8.328333333333333,176.5063183,3.5602222222222224,10
Rural store,2011-10-28,3978456.57,0,8.328333333333333,176.59681043333333,3.5523333333333333,10
Rural store,2011-11-04,4239891.5,0,8.328333333333333,176.68730259999998,3.5395555555555553,11
Rural store,2011-11-11,4213101.74,0,8.328333333333333,176.7777948111111,3.4851111111111113,11
Rural store,2011-11-18,4175003.41,0,8.328333333333333,176.90037277777776,3.4837777777777776,11
Rural store,2011-11-25,4630245.6899999995,1,8.328333333333333,177.03578514444445,3.440888888888889,11
Rural store,2011-12-02,4123701.97,0,8.328333333333333,177.1711975111111,3.4026666666666667,12
Rural store,2011-12-09,4449817.08,0,8.328333333333333,177.3066098333333,3.3676666666666666,12
Rural store,2011-12-16,4552688.55,0,8.328333333333333,177.44170685555557,3.320333333333333,12
Rural store,2011-12-23,5017762.65,0,8.328333333333333,177.5763834,3.292444444444444,12
Rural store,2011-12-30,3580958.19,1,8.328333333333333,177.7110599888889,3.2567777777777778,12
Rural store,2012-01-06,4359495.96,0,7.918666666666667,177.84573650000002,3.2874444444444446,1
Rural store,2012-01-13,4276933.72,0,7.918666666666667,177.98041306666667,3.3574444444444445,1
Rural store,2012-01-20,4074115.87,0,7.918666666666667,178.04746936666666,3.404333333333333,1
Rural store,2012-01-27,3922915.7,0,7.918666666666667,178.11452566666668,3.4258888888888888,1
Rural store,2012-02-03,4200678.22,0,7.918666666666667,178.18158197777777,3.442555555555556,2
Rural store,2012-02-10,4387969.76,1,7.918666666666667,178.24863826666666,3.5123333333333333,2
Rural store,2012-02-17,4226394.86,0,7.918666666666667,178.36704301111112,3.576666666666666,2
Rural store,2012-02-24,4015611.33,0,7.918666666666667,178.52395906666666,3.6609999999999996,2
Rural store,2012-03-02,4237751.84,0,7.918666666666667,178.6808751222222,3.723222222222222,3
Rural store,2012-03-09,4285012.48,0,7.918666666666667,178.83779116666668,3.784222222222222,3
Rural store,2012-03-16,4190728.95,0,7.918666666666667,178.95863974444444,3.9101111111111115,3
Rural store,2012-03-23,4070356.32,0,7.918666666666667,179.03139842222222,3.9323333333333332,3
Rural store,2012-03-30,4109533.53,0,7.918666666666667,179.10415705555556,3.9994444444444444,3
Rural store,2012-04-06,4554724.82,0,7.734333333333333,179.1769156888889,4.009,4
Rural store,2012-04-13,4298548.37,0,7.734333333333333,179.24967433333333,4.025666666666666,4
Rural store,2012-04-20,4149235.4099999997,0,7.734333333333333,179.28319832222223,3.9850000000000003,4
Rural store,2012-04-27,4045965.38,0,7.734333333333333,179.31672234444443,3.9494444444444445,4
Rural store,2012-05-04,4334223.99,0,7.734333333333333,179.35024633333333,3.9056666666666664,5
Rural store,2012-05-11,4385338.24,0,7.734333333333333,179.3837703222222,3.8982222222222225,5
Rural store,2012-05-18,4300236.7,0,7.734333333333333,179.37199667777776,3.8872222222222224,5
Rural store,2012-05-25,4240552.01,0,7.734333333333333,179.3421039111111,3.829444444444445,5
Rural store,2012-06-01,4106758.64,0,7.734333333333333,179.31221114444443,3.8256666666666663,6
Rural store,2012-06-08,4394826.67,0,7.734333333333333,179.28231835555556,3.7381111111111114,6
Rural store,2012-06-15,4334295.6,0,7.734333333333333,179.26244137777778,3.710444444444444,6
Rural store,2012-06-22,4097748.0100000002,0,7.734333333333333,179.2676039111111,3.637666666666667,6
Rural store,2012-06-29,4029814.1,0,7.734333333333333,179.27276643333335,3.5492222222222223,6
Rural store,2012-07-06,4387575.03,0,7.447333333333333,179.2779289111111,3.457222222222222,7
Rural store,2012-07-13,4231360.17,0,7.447333333333333,179.2830914222222,3.477777777777778,7
Rural store,2012-07-20,4079782.96,0,7.447333333333333,179.29556342222224,3.4734444444444446,7
Rural store,2012-07-27,3942799.08,0,7.447333333333333,179.30803542222222,3.567111111111111,7
Rural store,2012-08-03,4219503.72,0,7.447333333333333,179.32050745555557,3.530111111111111,8
Rural store,2012-08-10,4229504.87,0,7.447333333333333,179.33297946666667,3.6262222222222227,8
Rural store,2012-08-17,4201622.16,0,7.447333333333333,179.3919124888889,3.7380000000000004,8
Rural store,2012-08-24,4103893.07,0,7.447333333333333,179.48569137777778,3.7794444444444446,8
Rural store,2012-08-31,4074380.12,0,7.447333333333333,179.5794702,3.764222222222222,8
Rural store,2012-09-07,4322275.84,1,7.447333333333333,179.6732491,3.8732222222222226,9
Rural store,2012-09-14,4179583.5,0,7.447333333333333,179.77110445555556,3.8450000000000006,9
Rural store,2012-09-21,4051246.15,0,7.447333333333333,179.89341882222223,3.900666666666667,9
Rural store,2012-09-28,3987702.31,0,7.447333333333333,180.01573323333332,3.8193333333333337,9
Rural store,2012-10-05,4266640.18,0,7.112444444444445,180.13804764444444,3.832444444444444,10
Rural store,2012-10-12,4252605.83,0,7.112444444444445,180.26036202222224,3.953333333333333,10
Rural store,2012-10-19,4134710.07,0,7.112444444444445,180.30197122222222,3.9387777777777777,10
Rural store,2012-10-26,4070041.4899999998,0,7.112444444444445,180.33012960000002,3.839111111111111,10
