ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,CPI,CPI_lower,CPI_upper,Fuel_Price,Fuel_Price_lower,Fuel_Price_upper,Holiday_Flag,Holiday_Flag_lower,Holiday_Flag_upper,Month,Month_lower,Month_upper,Unemployment,Unemployment_lower,Unemployment_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-02-05,4259563.66029705,4343941.157829562,4726811.256976434,4259563.66029705,4259563.66029705,-127554.70559069957,-127554.70559069957,-127554.70559069957,-37673.461170130446,-37673.461170130446,-37673.461170130446,0.0,0.0,0.0,180589.61104513428,180589.61104513428,180589.61104513428,391212.36876830994,391212.36876830994,391212.36876830994,269473.02305608644,269473.02305608644,269473.02305608644,406573.81305261416,406573.81305261416,406573.81305261416,39774.76179939185,39774.76179939185,39774.76179939185,-176875.5517959196,-176875.5517959196,-176875.5517959196,0.0,0.0,0.0,4529036.683353136
2010-02-12,4257967.690213504,4328168.814706096,4692608.593935242,4257967.690213504,4257967.690213504,-127554.70559069957,-127554.70559069957,-127554.70559069957,-37673.461170130446,-37673.461170130446,-37673.461170130446,0.0,0.0,0.0,180589.61104513428,180589.61104513428,180589.61104513428,391212.36876830994,391212.36876830994,391212.36876830994,260921.4607438497,260921.4607438497,260921.4607438497,406573.81305261416,406573.81305261416,406573.81305261416,39774.76179939184,39774.76179939184,39774.76179939184,-185427.11410815638,-185427.11410815638,-185427.11410815638,0.0,0.0,0.0,4518889.150957354
2010-02-19,4256371.720129959,4306542.75392199,4684274.925310499,4256371.720129959,4256371.720129959,-127554.70559069957,-127554.70559069957,-127554.70559069957,-37673.461170130446,-37673.461170130446,-37673.461170130446,0.0,0.0,0.0,180589.61104513428,180589.61104513428,180589.61104513428,391212.36876830994,391212.36876830994,391212.36876830994,233438.43869118948,233438.43869118948,233438.43869118948,406573.81305261416,406573.81305261416,406573.81305261416,39774.76179939184,39774.76179939184,39774.76179939184,-212910.13616081653,-212910.13616081653,-212910.13616081653,0.0,0.0,0.0,4489810.158821149
2010-02-26,4254775.750046412,4302141.674869675,4698891.939688836,4254775.750046412,4254775.750046412,-127554.70559069957,-127554.70559069957,-127554.70559069957,-37673.461170130446,-37673.461170130446,-37673.461170130446,0.0,0.0,0.0,180589.61104513428,180589.61104513428,180589.61104513428,391212.36876830994,391212.36876830994,391212.36876830994,244905.85193273975,244905.85193273975,244905.85193273975,406573.81305261416,406573.81305261416,406573.81305261416,39774.76179939184,39774.76179939184,39774.76179939184,-201442.72291926626,-201442.72291926626,-201442.72291926626,0.0,0.0,0.0,4499681.601979152
2010-03-05,4253179.779962867,4306272.485696858,4688742.2960423995,4253179.779962867,4253179.779962867,-127554.70559069957,-127554.70559069957,-127554.70559069957,-37673.461170130446,-37673.461170130446,-37673.461170130446,0.0,0.0,0.0,139985.34315291067,139985.34315291067,139985.34315291067,391212.36876830994,391212.36876830994,391212.36876830994,232817.0591539772,232817.0591539772,232817.0591539772,365969.5451603906,365969.5451603906,365969.5451603906,39774.76179939185,39774.76179939185,39774.76179939185,-172927.24780580527,-172927.24780580527,-172927.24780580527,0.0,0.0,0.0,4485996.839116843
2010-03-12,4251583.809879321,4285350.941092091,4678827.531471018,4251583.809879321,4251583.809879321,-127554.70559069957,-127554.70559069957,-127554.70559069957,-37673.461170130446,-37673.461170130446,-37673.461170130446,0.0,0.0,0.0,139985.34315291067,139985.34315291067,139985.34315291067,391212.36876830994,391212.36876830994,391212.36876830994,235062.47435013435,235062.47435013435,235062.47435013435,365969.5451603906,365969.5451603906,365969.5451603906,39774.76179939184,39774.76179939184,39774.76179939184,-170681.83260964812,-170681.83260964812,-170681.83260964812,0.0,0.0,0.0,4486646.284229455
2010-03-19,4249987.839795775,4290372.854847314,4662076.232602645,4249987.839795775,4249987.839795775,-127554.70559069957,-127554.70559069957,-127554.70559069957,-37673.461170130446,-37673.461170130446,-37673.461170130446,0.0,0.0,0.0,139985.34315291067,139985.34315291067,139985.34315291067,391212.36876830994,391212.36876830994,391212.36876830994,222304.88844766602,222304.88844766602,222304.88844766602,365969.5451603906,365969.5451603906,365969.5451603906,39774.76179939184,39774.76179939184,39774.76179939184,-183439.41851211648,-183439.41851211648,-183439.41851211648,0.0,0.0,0.0,4472292.72824344
2010-03-26,4248391.869712229,4302249.519129291,4690355.186641168,4248391.869712229,4248391.869712229,-127554.70559069957,-127554.70559069957,-127554.70559069957,-37673.461170130446,-37673.461170130446,-37673.461170130446,0.0,0.0,0.0,139985.34315291067,139985.34315291067,139985.34315291067,391212.36876830994,391212.36876830994,391212.36876830994,246754.0801406382,246754.0801406382,246754.0801406382,365969.5451603906,365969.5451603906,365969.5451603906,39774.76179939184,39774.76179939184,39774.76179939184,-158990.22681914427,-158990.22681914427,-158990.22681914427,0.0,0.0,0.0,4495145.949852867
2010-04-02,4246795.899628683,4337353.594187777,4718787.695149455,4246795.899628683,4246795.899628683,-127554.70559069957,-127554.70559069957,-127554.70559069957,-37673.461170130446,-37673.461170130446,-37673.461170130446,0.0,0.0,0.0,99381.07526068708,99381.07526068708,99381.07526068708,391212.36876830994,391212.36876830994,391212.36876830994,281790.5538249934,281790.5538249934,281790.5538249934,325365.277268167,325365.277268167,325365.277268167,39774.76179939184,39774.76179939184,39774.76179939184,-83349.48524256548,-83349.48524256548,-83349.48524256548,0.0,0.0,0.0,4528586.453453677
2010-04-09,4245199.929545138,4406314.965465567,4795087.927217737,4245199.929545138,4245199.929545138,-127554.70559069957,-127554.70559069957,-127554.70559069957,-37673.461170130446,-37673.461170130446,-37673.461170130446,0.0,0.0,0.0,99381.07526068708,99381.07526068708,99381.07526068708,391212.36876830994,391212.36876830994,391212.36876830994,353467.69861048553,353467.69861048553,353467.69861048553,325365.277268167,325365.277268167,325365.277268167,39774.76179939184,39774.76179939184,39774.76179939184,-11672.34045707334,-11672.34045707334,-11672.34045707334,0.0,0.0,0.0,4598667.628155624
2010-04-16,4243603.959461591,4420786.649562689,4796618.68100177,4243603.959461591,4243603.959461591,-127554.70559069957,-127554.70559069957,-127554.70559069957,-37673.461170130446,-37673.461170130446,-37673.461170130446,0.0,0.0,0.0,99381.07526068708,99381.07526068708,99381.07526068708,391212.36876830994,391212.36876830994,391212.36876830994,361303.85207217187,361303.85207217187,361303.85207217187,325365.277268167,325365.277268167,325365.277268167,39774.76179939184,39774.76179939184,39774.76179939184,-3836.186995386996,-3836.186995386996,-3836.186995386996,0.0,0.0,0.0,4604907.811533763
2010-04-23,4242007.989378045,4377931.315606712,4736553.953210711,4242007.989378045,4242007.989378045,-127554.70559069957,-127554.70559069957,-127554.70559069957,-37673.461170130446,-37673.461170130446,-37673.461170130446,0.0,0.0,0.0,99381.07526068708,99381.07526068708,99381.07526068708,391212.36876830994,391212.36876830994,391212.36876830994,318063.8495182987,318063.8495182987,318063.8495182987,325365.277268167,325365.277268167,325365.277268167,39774.76179939184,39774.76179939184,39774.76179939184,-47076.18954926017,-47076.18954926017,-47076.18954926017,0.0,0.0,0.0,4560071.838896344
2010-04-30,4240412.0192945,4342958.235864563,4735121.863183301,4240412.0192945,4240412.0192945,-127554.70559069957,-127554.70559069957,-127554.70559069957,-37673.461170130446,-37673.461170130446,-37673.461170130446,0.0,0.0,0.0,99381.07526068708,99381.07526068708,99381.07526068708,391212.36876830994,391212.36876830994,391212.36876830994,297035.1679126155,297035.1679126155,297035.1679126155,325365.277268167,325365.277268167,325365.277268167,39774.76179939184,39774.76179939184,39774.76179939184,-68104.8711549433,-68104.8711549433,-68104.8711549433,0.0,0.0,0.0,4537447.187207116
2010-05-07,4238816.049210954,4350200.308686725,4723190.346412813,4238816.049210954,4238816.049210954,-127554.70559069957,-127554.70559069957,-127554.70559069957,-37673.461170130446,-37673.461170130446,-37673.461170130446,0.0,0.0,0.0,58776.80736846351,58776.80736846351,58776.80736846351,391212.36876830994,391212.36876830994,391212.36876830994,302344.3391777194,302344.3391777194,302344.3391777194,284761.0093759434,284761.0093759434,284761.0093759434,39774.76179939184,39774.76179939184,39774.76179939184,-22191.43199761592,-22191.43199761592,-22191.43199761592,0.0,0.0,0.0,4541160.388388674
2010-05-14,4237220.079127408,4417241.032418545,4807348.435514334,4237220.079127408,4237220.079127408,-127554.70559069957,-127554.70559069957,-127554.70559069957,-37673.461170130446,-37673.461170130446,-37673.461170130446,0.0,0.0,0.0,58776.80736846351,58776.80736846351,58776.80736846351,391212.36876830994,391212.36876830994,391212.36876830994,377302.3266568227,377302.3266568227,377302.3266568227,284761.0093759434,284761.0093759434,284761.0093759434,39774.76179939184,39774.76179939184,39774.76179939184,52766.555481487354,52766.555481487354,52766.555481487354,0.0,0.0,0.0,4614522.405784231
2010-05-21,4235624.109043862,4449935.005103011,4844536.531320139,4235624.109043862,4235624.109043862,-127554.70559069957,-127554.70559069957,-127554.70559069957,-37673.461170130446,-37673.461170130446,-37673.461170130446,0.0,0.0,0.0,58776.80736846351,58776.80736846351,58776.80736846351,391212.36876830994,391212.36876830994,391212.36876830994,409066.9188519067,409066.9188519067,409066.9188519067,284761.0093759434,284761.0093759434,284761.0093759434,39774.76179939184,39774.76179939184,39774.76179939184,84531.14767657142,84531.14767657142,84531.14767657142,0.0,0.0,0.0,4644691.027895768
2010-05-28,4234028.138960317,4418761.659777403,4815574.023768137,4234028.138960317,4234028.138960317,-127554.70559069957,-127554.70559069957,-127554.70559069957,-37673.461170130446,-37673.461170130446,-37673.461170130446,0.0,0.0,0.0,58776.80736846351,58776.80736846351,58776.80736846351,391212.36876830994,391212.36876830994,391212.36876830994,379139.2349366202,379139.2349366202,379139.2349366202,284761.0093759434,284761.0093759434,284761.0093759434,39774.76179939184,39774.76179939184,39774.76179939184,54603.463761284846,54603.463761284846,54603.463761284846,0.0,0.0,0.0,4613167.373896937
2010-06-04,4232432.168876771,4358520.377953916,4703029.33188347,4232432.168876771,4232432.168876771,-127554.70559069957,-127554.70559069957,-127554.70559069957,-37673.461170130446,-37673.461170130446,-37673.461170130446,0.0,0.0,0.0,18172.539476239923,18172.539476239923,18172.539476239923,391212.36876830994,391212.36876830994,391212.36876830994,299369.6603075663,299369.6603075663,299369.6603075663,244156.74148371984,244156.74148371984,244156.74148371984,39774.76179939184,39774.76179939184,39774.76179939184,15438.15702445456,15438.15702445456,15438.15702445456,0.0,0.0,0.0,4531801.8291843375
2010-06-11,4230836.198793224,4344849.729844823,4720812.797754746,4230836.198793224,4230836.198793224,-127554.70559069957,-127554.70559069957,-127554.70559069957,-37673.461170130446,-37673.461170130446,-37673.461170130446,0.0,0.0,0.0,18172.539476239923,18172.539476239923,18172.539476239923,391212.36876830994,391212.36876830994,391212.36876830994,302975.98697928793,302975.98697928793,302975.98697928793,244156.74148371984,244156.74148371984,244156.74148371984,39774.76179939184,39774.76179939184,39774.76179939184,19044.483696176245,19044.483696176245,19044.483696176245,0.0,0.0,0.0,4533812.185772512
2010-06-18,4229240.228709679,4378646.784447265,4762301.143542887,4229240.228709679,4229240.228709679,-127554.70559069957,-127554.70559069957,-127554.70559069957,-37673.461170130446,-37673.461170130446,-37673.461170130446,0.0,0.0,0.0,18172.539476239923,18172.539476239923,18172.539476239923,391212.36876830994,391212.36876830994,391212.36876830994,335089.61332840275,335089.61332840275,335089.61332840275,244156.74148371984,244156.74148371984,244156.74148371984,39774.76179939184,39774.76179939184,39774.76179939184,51158.11004529105,51158.11004529105,51158.11004529105,0.0,0.0,0.0,4564329.842038082
2010-06-25,4227644.258626133,4386105.56955677,4743687.962325476,4227644.258626133,4227644.258626133,-127554.70559069957,-127554.70559069957,-127554.70559069957,-37673.461170130446,-37673.461170130446,-37673.461170130446,0.0,0.0,0.0,18172.539476239923,18172.539476239923,18172.539476239923,391212.36876830994,391212.36876830994,391212.36876830994,337492.75240628683,337492.75240628683,337492.75240628683,244156.74148371984,244156.74148371984,244156.74148371984,39774.76179939184,39774.76179939184,39774.76179939184,53561.24912317512,53561.24912317512,53561.24912317512,0.0,0.0,0.0,4565137.01103242
